0.0000,0.9125,0.2964
0.0000,0.9166,0.2935
0.0000,0.9193,0.2955
0.0000,0.9144,0.2985
0.0000,0.9164,0.2965
0.0000,0.9197,0.2990
0.0000,0.9113,0.2942
0.0000,0.9143,0.2926
0.0000,0.9139,0.2977
0.0000,0.9181,0.2963
0.0000,0.9134,0.2953
0.0000,0.9107,0.2955
0.0000,0.9128,0.2909
0.0000,0.9186,0.2969
0.0000,0.9128,0.2947
0.0000,0.9184,0.2974
0.0000,0.9168,0.2950
0.0000,0.9101,0.2999
0.0000,0.9183,0.2981
0.0000,0.9171,0.2807
0.0000,0.9166,0.2808
0.0000,0.9187,0.2842
0.0000,0.9164,0.2877
0.0000,0.9193,0.2849
0.0000,0.9131,0.2892
1.0000,0.8451,0.2000
1.0000,0.8448,0.2083
1.0000,0.8473,0.2072
1.0000,0.8444,0.2050
1.0000,0.8497,0.2043
1.0000,0.8422,0.2039
1.0000,0.8432,0.2062
1.0000,0.8430,0.2097
1.0000,0.8409,0.2071
1.0000,0.8456,0.2046
1.0000,0.8487,0.2007
1.0000,0.8426,0.2059
1.0000,0.8425,0.2006
1.0000,0.8479,0.2032
1.0000,0.8472,0.2024
1.0000,0.8457,0.2001
1.0000,0.8419,0.2089
1.0000,0.8451,0.2025
1.0000,0.8316,0.2050
1.0000,0.8308,0.2006
1.0000,0.8382,0.2027
1.0000,0.8318,0.2054
1.0000,0.8322,0.2027
1.0000,0.8326,0.2004
1.0000,0.8303,0.2052
1.0000,0.8386,0.2093
1.0000,0.8380,0.2082
1.0000,0.8467,0.2126
1.0000,0.8459,0.2103
1.0000,0.8422,0.2109
1.0000,0.8494,0.2117
1.0000,0.8436,0.2171
1.0000,0.8468,0.2179
1.0000,0.8461,0.2139
1.0000,0.8402,0.2176
1.0000,0.8371,0.2181
1.0000,0.8338,0.2143
