1.0000,0.2000,2.0000,0.1431
1.0000,0.2000,4.0000,0.0991
1.0000,0.1000,2.0000,0.1191
1.0000,0.1000,4.0000,0.1151
1.0000,0.0600,2.0000,0.2942
1.0000,0.0600,4.0000,0.1941
1.0000,0.0500,2.0000,0.5414
1.0000,0.0500,4.0000,0.3182
1.0000,0.0400,2.0000,1.1058
1.0000,0.0400,4.0000,0.7665
1.5000,0.2000,2.0000,0.1041
1.5000,0.2000,4.0000,0.1051
1.5000,0.1000,2.0000,0.1231
1.5000,0.1000,4.0000,0.1081
1.5000,0.0600,2.0000,0.3232
1.5000,0.0600,4.0000,0.2041
1.5000,0.0500,2.0000,0.4713
1.5000,0.0500,4.0000,0.3553
1.5000,0.0400,2.0000,1.1078
1.5000,0.0400,4.0000,0.7205
2.0000,0.2000,2.0000,0.1031
2.0000,0.2000,4.0000,0.1010
2.0000,0.1000,2.0000,0.1601
2.0000,0.1000,4.0000,0.1501
2.0000,0.0600,2.0000,0.2892
2.0000,0.0600,4.0000,0.1821
2.0000,0.0500,2.0000,0.4964
2.0000,0.0500,4.0000,0.3598
2.0000,0.0400,2.0000,1.1128
2.0000,0.0400,4.0000,0.7405
